Model,Run,Accuracy,Precision,Recall,F1-Score,AUC-ROC,MCC,Specificity,AUPRC,TN,FP,FN,TP
XGBoost,1,0.863849765258216,0.9186991869918699,0.8560606060606061,0.8862745098039215,0.9298073325851104,0.7199873085699977,0.8765432098765432,0.9399898339267321,71,10,19,113
XGBoost,2,0.863849765258216,0.912,0.8636363636363636,0.8871595330739299,0.9415918443696222,0.7175718758426267,0.8641975308641975,0.9599339369545259,70,11,18,114
XGBoost,3,0.8685446009389671,0.9193548387096774,0.8636363636363636,0.890625,0.9409371492704827,0.7285522855885337,0.8765432098765432,0.9566632219599722,71,10,18,114
XGBoost,4,0.8685446009389671,0.90625,0.8787878787878788,0.8923076923076924,0.938973063973064,0.7242997109631121,0.8518518518518519,0.9543815704367918,69,12,16,116
XGBoost,5,0.8450704225352113,0.889763779527559,0.8560606060606061,0.8725868725868726,0.9384118967452302,0.675989046954374,0.8271604938271605,0.9541290218966033,67,14,19,113
XGBoost,6,0.8732394366197183,0.9007633587786259,0.8939393939393939,0.8973384030418251,0.9384118967452301,0.7317366181712891,0.8395061728395061,0.9540455826710108,68,13,14,118
XGBoost,7,0.8591549295774648,0.9112903225806451,0.8560606060606061,0.8828125,0.9328937523381968,0.7089437896534366,0.8641975308641975,0.9507765430268864,70,11,19,113
XGBoost,8,0.8685446009389671,0.9126984126984127,0.8712121212121212,0.8914728682170543,0.9396277590722034,0.7262964171194389,0.8641975308641975,0.9557546022202771,70,11,17,115
XGBoost,9,0.863849765258216,0.912,0.8636363636363636,0.8871595330739299,0.9459876543209876,0.7175718758426267,0.8641975308641975,0.9601703714711654,70,11,18,114
XGBoost,10,0.863849765258216,0.905511811023622,0.8712121212121212,0.888030888030888,0.9450523756079312,0.715410174127894,0.8518518518518519,0.9636695465232485,69,12,17,115
XGBoost,11,0.8685446009389671,0.9193548387096774,0.8636363636363636,0.890625,0.9385054246165357,0.7285522855885337,0.8765432098765432,0.9553444132319584,71,10,18,114
XGBoost,12,0.8685446009389671,0.9193548387096774,0.8636363636363636,0.890625,0.9410306771417882,0.7285522855885337,0.8765432098765432,0.957213547611343,71,10,18,114
XGBoost,13,0.8591549295774648,0.9047619047619048,0.8636363636363636,0.8837209302325582,0.9369154508043397,0.7066218480177677,0.8518518518518519,0.9532162276567404,69,12,18,114
XGBoost,14,0.8685446009389671,0.90625,0.8787878787878788,0.8923076923076924,0.9425271230826786,0.7242997109631121,0.8518518518518519,0.959144298529971,69,12,16,116
XGBoost,15,0.8685446009389671,0.9193548387096774,0.8636363636363636,0.890625,0.9438365132809577,0.7285522855885337,0.8765432098765432,0.9592378314241359,71,10,18,114
XGBoost,16,0.863849765258216,0.905511811023622,0.8712121212121212,0.888030888030888,0.9414983164983165,0.715410174127894,0.8518518518518519,0.9535761528749103,69,12,17,115
XGBoost,17,0.8685446009389671,0.9193548387096774,0.8636363636363636,0.890625,0.937383090160868,0.7285522855885337,0.8765432098765432,0.9570381672203816,71,10,18,114
XGBoost,18,0.8779342723004695,0.9140625,0.8863636363636364,0.9,0.9419659558548448,0.744048282191369,0.8641975308641975,0.9605016894978031,70,11,15,117
XGBoost,19,0.8591549295774648,0.9112903225806451,0.8560606060606061,0.8828125,0.9369154508043397,0.7089437896534366,0.8641975308641975,0.9484318842077007,70,11,19,113
XGBoost,20,0.8779342723004695,0.9344262295081968,0.8636363636363636,0.8976377952755905,0.9415918443696221,0.7506146210432812,0.9012345679012346,0.9572321383695461,73,8,18,114
XGBoost,21,0.863849765258216,0.912,0.8636363636363636,0.8871595330739299,0.9415918443696221,0.7175718758426267,0.8641975308641975,0.9573821005355803,70,11,18,114
XGBoost,22,0.8544600938967136,0.9105691056910569,0.8484848484848485,0.8784313725490196,0.9435559296670408,0.7004089482067385,0.8641975308641975,0.960073032900912,70,11,20,112
XGBoost,23,0.8685446009389671,0.9262295081967213,0.8560606060606061,0.889763779527559,0.9434624017957352,0.7310644970175758,0.8888888888888888,0.9577955864485402,72,9,19,113
XGBoost,24,0.8591549295774648,0.9047619047619048,0.8636363636363636,0.8837209302325582,0.9373830901608681,0.7066218480177677,0.8518518518518519,0.9483598600259899,69,12,18,114
XGBoost,25,0.863849765258216,0.8992248062015504,0.8787878787878788,0.8888888888888888,0.9403759820426487,0.7135053712304269,0.8395061728395061,0.953749313784541,68,13,16,116
XGBoost,26,0.8779342723004695,0.9274193548387096,0.8712121212121212,0.8984375,0.940843621399177,0.7481607815236306,0.8888888888888888,0.9566398737756752,72,9,17,115
XGBoost,27,0.8732394366197183,0.9133858267716536,0.8787878787878788,0.8957528957528957,0.9370089786756453,0.735120737714654,0.8641975308641975,0.9538931440840717,70,11,16,116
XGBoost,28,0.863849765258216,0.905511811023622,0.8712121212121212,0.888030888030888,0.9420594837261503,0.715410174127894,0.8518518518518519,0.9561810395148518,69,12,17,115
