Model,Run,Accuracy,Precision,Recall,F1-Score,AUC-ROC,MCC,Specificity,AUPRC,TN,FP,FN,TP
XGBoost,1,0.8472222222222222,0.8725,0.8790931989924433,0.875784190715182,0.9079751522875751,0.6774270688148343,0.796812749003984,0.9306640020252062,200,51,48,349
XGBoost,2,0.845679012345679,0.8703241895261845,0.8790931989924433,0.87468671679198,0.9076740895360623,0.6739539721724285,0.7928286852589641,0.9316899584164421,199,52,48,349
XGBoost,3,0.8379629629629629,0.8724489795918368,0.8614609571788413,0.8669201520912547,0.9096008911457445,0.6599273996754329,0.8007968127490039,0.9324554676677892,201,50,55,342
XGBoost,4,0.8441358024691358,0.87,0.8765743073047859,0.8732747804265998,0.9066805824560699,0.6709094785340407,0.7928286852589641,0.9289908907262197,199,52,49,348
XGBoost,5,0.8441358024691358,0.8681592039800995,0.8790931989924433,0.8735919899874843,0.9075636998605077,0.6704826886121024,0.7888446215139442,0.9302735468855245,198,53,48,349
XGBoost,6,0.8441358024691358,0.871859296482412,0.8740554156171285,0.8729559748427673,0.9058075004766827,0.671363547651187,0.796812749003984,0.9309497677859401,200,51,50,347
XGBoost,7,0.8472222222222222,0.8743718592964824,0.8765743073047859,0.8754716981132076,0.9093098638192821,0.6778713050016428,0.8007968127490039,0.930739668290747,201,50,49,348
XGBoost,8,0.8379629629629629,0.8613861386138614,0.8765743073047859,0.8689138576779026,0.9057171816512288,0.6570070119942647,0.7768924302788844,0.93104534693465,195,56,49,348
XGBoost,9,0.8549382716049383,0.8778054862842892,0.8866498740554156,0.8822055137844611,0.9067909721316246,0.6935218389770466,0.8047808764940239,0.9302958531095937,202,49,45,352
XGBoost,10,0.8441358024691358,0.8775510204081632,0.8664987405541562,0.8719898605830165,0.9073228496592973,0.6728875449957651,0.8087649402390438,0.9300574859943823,203,48,53,344
XGBoost,11,0.8379629629629629,0.865,0.871536523929471,0.8682559598494354,0.9080052585627265,0.6578742979724534,0.7848605577689243,0.9307421957380126,197,54,51,346
XGBoost,12,0.8503086419753086,0.8712871287128713,0.8866498740554156,0.8789013732833958,0.9042921512940679,0.6831597574806142,0.7928286852589641,0.9290837161110623,199,52,45,352
XGBoost,13,0.8410493827160493,0.8638613861386139,0.8790931989924433,0.8714107365792759,0.909329934669383,0.6635451983658521,0.7808764940239044,0.9323066483180731,196,55,48,349
XGBoost,14,0.8503086419753086,0.875,0.8816120906801007,0.8782936010037641,0.9044928597950767,0.683944659095628,0.8007968127490039,0.9282133636489005,201,50,47,350
XGBoost,15,0.8364197530864198,0.8683544303797468,0.8639798488664987,0.8661616161616161,0.9050749144480015,0.6558614318141494,0.7928286852589641,0.9296937632670056,199,52,54,343
XGBoost,16,0.8364197530864198,0.8683544303797468,0.8639798488664987,0.8661616161616161,0.907011751482734,0.6558614318141494,0.7928286852589641,0.9305147803783498,199,52,54,343
XGBoost,17,0.8472222222222222,0.8706467661691543,0.8816120906801007,0.8760951188986232,0.9066504761809188,0.6770104205484683,0.7928286852589641,0.9290107535855268,199,52,47,350
XGBoost,18,0.8425925925925926,0.8678304239401496,0.8765743073047859,0.8721804511278195,0.9096510682709966,0.6674313499042225,0.7888446215139442,0.9322191234762734,198,53,49,348
XGBoost,19,0.8472222222222222,0.8725,0.8790931989924433,0.875784190715182,0.9091994741437273,0.6774270688148343,0.796812749003984,0.930744427013551,200,51,48,349
XGBoost,20,0.8364197530864198,0.8610421836228288,0.8740554156171285,0.8675,0.906279165454053,0.6539472880075488,0.7768924302788844,0.9305716215837219,195,56,50,347
XGBoost,21,0.8410493827160493,0.8675,0.8740554156171285,0.8707653701380176,0.9074934518851545,0.664391888253247,0.7888446215139442,0.930776747793642,198,53,50,347
XGBoost,22,0.8472222222222222,0.8706467661691543,0.8816120906801007,0.8760951188986232,0.9066504761809187,0.6770104205484683,0.7928286852589641,0.9300187054124174,199,52,47,350
XGBoost,23,0.8425925925925926,0.871536523929471,0.871536523929471,0.871536523929471,0.9094102180697864,0.6683492729334551,0.796812749003984,0.9294717796982244,200,51,51,346
XGBoost,24,0.8472222222222222,0.8762626262626263,0.8740554156171285,0.8751576292559899,0.9053258000742623,0.6783429306991098,0.8047808764940239,0.9303128865164122,202,49,50,347
