Dataset,Model,Feature_Count,Training_Time,Accuracy,Precision,Recall,F1-Score,AUC-ROC,MCC,Specificity,AUPRC,TN,FP,FN,TP
solid,XGBoost,750,1.4541699886322021,0.8194444444444444,0.8255813953488372,0.8942065491183879,0.8585247883917775,0.885696508675625,0.6138747349457638,0.701195219123506,0.9215141716059825,176,75,42,355
solid,RandomForest,750,13.017592668533325,0.7962962962962963,0.797752808988764,0.8942065491183879,0.8432304038004751,0.8657561191004245,0.5625715291906029,0.6414342629482072,0.9050714814576588,161,90,42,355
solid,LogisticRegression,750,9.151615619659424,0.7438271604938271,0.7607223476297968,0.8488664987405542,0.8023809523809524,0.8055937459231087,0.4468164078415672,0.5776892430278885,0.8499203145828388,145,106,60,337
solid,SVM,750,3.855431318283081,0.7638888888888888,0.8333333333333334,0.7682619647355163,0.799475753604194,0.8186096922135138,0.5160834259259802,0.7569721115537849,0.8503771536367033,190,61,92,305
solid,DecisionTree,750,0.05834770202636719,0.7114197530864198,0.7488151658767772,0.7959697732997482,0.7716727716727717,0.785392435296597,0.3819417514063378,0.5776892430278885,0.8516152129812815,145,106,81,316
solid,BiLSTM,750,19.98679757118225,0.779320987654321,0.7834821428571429,0.8841309823677582,0.8307692307692308,0.8527803145102211,0.5248382810129316,0.6135458167330677,0.8968814018399592,154,97,46,351
solid,XGBoost,1000,1.7695643901824951,0.8179012345679012,0.831353919239905,0.8816120906801007,0.8557457212713936,0.8821439682077734,0.6113909365430801,0.7171314741035857,0.9160429522965796,180,71,47,350
solid,RandomForest,1000,14.436397314071655,0.7978395061728395,0.7995495495495496,0.8942065491183879,0.8442330558858502,0.866308067478198,0.5660014021565875,0.6454183266932271,0.9066668941871691,162,89,42,355
solid,LogisticRegression,1000,13.748650550842285,0.7407407407407407,0.7573033707865169,0.8488664987405542,0.8004750593824228,0.8026232601081817,0.43963318134087565,0.5697211155378487,0.8513931686543152,143,108,60,337
solid,SVM,1000,5.6882641315460205,0.7530864197530864,0.8228882833787466,0.760705289672544,0.7905759162303665,0.8155539052856582,0.4932029205903544,0.7410358565737052,0.846876252825344,186,65,95,302
solid,DecisionTree,1000,0.08032417297363281,0.7191358024691358,0.7763496143958869,0.760705289672544,0.7684478371501272,0.7724417192690197,0.411816746372041,0.6533864541832669,0.8273111193403143,164,87,95,302
solid,BiLSTM,1000,26.699235439300537,0.7654320987654321,0.7842227378190255,0.8513853904282116,0.8164251207729468,0.8401958914969845,0.4963511171381107,0.6294820717131474,0.8917357646799184,158,93,59,338
