feature_index,feature_name,F_score,p_value,F_score_normalized,RF_gini_importance,RF_perm_importance,RF_combined_importance,combined_score,rank
0,HEART_RATE_t0,347.76772814515596,6.328365052510513e-73,0.9999999999997125,0.03374544697228048,0.00833333333333327,0.9999999955834773,0.9999999977915949,1
1939,HEMOGLOBIN_RESULT_h1,145.0486626412302,1.527985040685726e-32,0.4170848842554078,0.008404770559262037,-0.00046296296296300944,0.26832058940637993,0.34270273683089386,2
2019,ANTIBIOTICS_length,168.78248751369904,1.969476096027226e-37,0.48533108121867424,0.0028338362064348295,-3.3306690738754695e-17,0.16360306837485095,0.3244670747967626,3
1938,HEMOGLOBIN_RESULT_h0,126.6468437398373,1.0193452353974538e-28,0.3641707769012406,0.009880828070791166,-0.0012345679012346177,0.2808669570605093,0.32251886698087495,4
1105,MEAN_ARTERIAL_PRESSURE_t9,106.22903552587341,1.9365444979425963e-24,0.3054597276533479,0.004219313728652191,0.005864197530864113,0.3296921720147114,0.31757594983402965,5
2021,ANTIBIOTICS_first_med_id,90.5622389902535,3.9549458516038915e-21,0.2604101291205128,0.007779146055350211,0.003858024691357953,0.35654774154920743,0.30847893533486015,6
1935,POTASSIUM_RESULT_h1,93.67157060538835,8.674345320311087e-22,0.2693509576203791,0.007365463949422219,0.0032407407407406665,0.33350867940718876,0.3014298185137839,7
1107,MEAN_ARTERIAL_PRESSURE_t11,112.90407180475695,7.655420771755821e-26,0.3246536773463899,0.0043615421606220135,0.0033950617283949767,0.27481116820137336,0.2997324227738816,8
1106,MEAN_ARTERIAL_PRESSURE_t10,111.80183638160466,1.3042575699733573e-25,0.3214842187280447,0.004384249586409962,0.002469135802469058,0.2535954537568956,0.28753983624247015,9
1947,ABSOLUTE_NEUTROPHILS_h1,2.232965756581148,0.13521622777280493,0.006420853851190243,0.01560483380461912,0.004475308641975229,0.5333380323895871,0.2698794431203887,10
1,HEART_RATE_t1,3.7296076194263543,0.05356503177711518,0.010724421266221024,0.01866233770106405,0.0013888888888888174,0.5244723278801137,0.2675983745731673,11
1937,POTASSIUM_RESULT_h3,106.47621687075444,1.717891405890825e-24,0.3061704932732613,0.0110385338214907,-0.00447530864197534,0.2289782576740747,0.267574375473668,12
1110,MEAN_ARTERIAL_PRESSURE_t14,91.17071244190258,2.938458400662901e-21,0.2621597838538437,0.0028243631824173073,0.004629629629629539,0.27184029842416124,0.26700004113900244,13
1103,MEAN_ARTERIAL_PRESSURE_t7,80.05000756307486,6.797471937951529e-19,0.23018239210982652,0.0033568309147795033,0.003858024691357931,0.2648132746218942,0.24749783336586034,14
559,TEMPERATURE_t11,103.52810436245446,7.177247859550409e-24,0.29769324748618636,0.0031462510323717807,0.001080246913580185,0.1953848621465165,0.24653905481635144,15
287,PULSE_OXIMETRY_t13,59.18751810183396,2.0230441889137356e-14,0.17019266973821234,0.004265667063646789,0.0054012345679011475,0.31981033082118165,0.245001500279697,16
2020,ANTIBIOTICS_has_med,79.60040239885099,8.476455673193691e-19,0.22888956034932437,0.005786950839329303,0.0012345679012345067,0.25377677958472344,0.24133316996702392,17
1108,MEAN_ARTERIAL_PRESSURE_t12,89.44955690606491,6.81041474782223e-21,0.25721063131166544,0.0026462830800110743,0.0026234567901233683,0.22115833542075555,0.2391844833662105,18
1111,MEAN_ARTERIAL_PRESSURE_t15,83.39990018512422,1.3145312142992973e-19,0.23981494956395055,0.0025754024087904625,0.0033950617283949767,0.23776030846304977,0.23878762901350015,19
840,SYSTOLIC_BLOOD_PRESSURE_t18,60.477796153433694,1.0659182669251479e-14,0.17390284163507339,0.0033087816439403613,0.0054012345679011475,0.29996114072570623,0.23693199118038982,20
1109,MEAN_ARTERIAL_PRESSURE_t13,85.51284978621989,4.669925390316483e-20,0.24589069906596625,0.002442533762901891,0.0030864197530863224,0.22777522690879684,0.23683296298738155,21
1957,PROTHROMBIN_CONCENTRATION_h3,79.60040239885099,8.476455673193691e-19,0.22888956034932437,0.003614135109439113,0.0026234567901233796,0.2412350118135289,0.23506228608142665,22
3,HEART_RATE_t3,4.674865076860598,0.0306984715972878,0.013442492498636896,0.011871039275629875,0.004320987654320896,0.452271461870528,0.23285697718458245,23
1119,MEAN_ARTERIAL_PRESSURE_t23,82.75365686456686,1.8044070256193393e-19,0.23795668823532193,0.0023702717316780773,0.002932098765432001,0.2226617988372473,0.23030924353628462,24
1958,ANTIBIOTICS_seq_0,59.44553159526945,1.779671558755513e-14,0.17093458301122233,0.003501187973636317,0.004783950617283861,0.28949449773190694,0.23021454037156464,25
1112,MEAN_ARTERIAL_PRESSURE_t16,91.29202640060177,2.7694954537993466e-21,0.2625086200133867,0.0035492745424926036,0.0007716049382715418,0.19651608047126926,0.22951235024232797,26
839,SYSTOLIC_BLOOD_PRESSURE_t17,60.64215285741877,9.824094105320075e-15,0.17437544645341474,0.0032232921258049836,0.004320987654320896,0.27288658094388335,0.22363101369864904,27
286,PULSE_OXIMETRY_t12,57.47392905035969,4.741783216695346e-14,0.16526527448905187,0.0033852046467575765,0.004475308641975218,0.279859677452355,0.22256247597070344,28
289,PULSE_OXIMETRY_t15,67.11881869727102,3.9711591483448656e-16,0.1929989854298291,0.00312981190864003,0.003395061728394966,0.24926072358759782,0.22112985450871347,29
1113,MEAN_ARTERIAL_PRESSURE_t17,82.8369821767996,1.7321870273454165e-19,0.23819628870853757,0.003442349808285521,0.001080246913580185,0.20152699867520618,0.2198616436918719,30
1102,MEAN_ARTERIAL_PRESSURE_t6,72.78217930957827,2.4257233863000236e-17,0.2092838794955078,0.0037807616656703254,0.001543209876543139,0.21939023167215976,0.21433705558383379,31
1104,MEAN_ARTERIAL_PRESSURE_t8,96.87112233879296,1.8249141250345647e-22,0.2785512124872373,0.004187875646414552,-0.0020061728395061817,0.1447026869688975,0.2116269497280674,32
4,HEART_RATE_t4,4.01462030544491,0.045211441313498864,0.011543970243748666,0.010684202702572518,0.0035493827160492986,0.4095799820242846,0.21056197613401662,33
288,PULSE_OXIMETRY_t14,60.76914983149138,9.223961911230568e-15,0.17474062402394414,0.00245074822500163,0.003858024691357931,0.2460179129398879,0.21037926848191602,34
1943,LEUKOCYTE_COUNT_RESULT_h1,0.7963793162456816,0.3722610706060615,0.002289974749793486,0.013123699053064907,0.001543209876543139,0.41319581845747766,0.20774289660363557,35
1951,PLATELET_COUNT_RESULT_h1,55.32860391070819,1.37934172832261e-13,0.15909642969401258,0.007713876993144849,-0.00061728395061732,0.25037455391677466,0.20473549180539363,36
561,TEMPERATURE_t13,82.03651432367934,2.5647410012084e-19,0.23589455744270282,0.001633947382474109,0.0013888888888888395,0.17124324789544565,0.20356890266907424,37
558,TEMPERATURE_t10,95.10171920969935,4.3201936153729765e-22,0.2734633248372522,0.0011900182278208563,-3.3306690738754695e-17,0.1295044659007122,0.2014838953689822,38
1114,MEAN_ARTERIAL_PRESSURE_t18,74.15180994851697,1.2353960191518172e-17,0.21322222836486188,0.0033461137016339445,0.0006172839506172423,0.188687347826984,0.20095478809592293,39
1388,DIASTOLIC_BLOOD_PRESSURE_t18,55.98573453365964,9.943901416382772e-14,0.16098599726963586,0.002715486378464701,0.0033950617283949767,0.24066614576198767,0.20082607151581178,40
568,TEMPERATURE_t20,64.92941941244075,1.173090127984453e-15,0.18670340620369746,0.0011747239927708832,0.0035493827160493095,0.2123197388097534,0.19951157250672544,41
1123,MEAN_ARTERIAL_PRESSURE_t27,70.44652181000289,7.674906782749656e-17,0.20256773733927008,0.0012399939301045541,0.002469135802469058,0.18837246368361438,0.19547010051144223,42
1121,MEAN_ARTERIAL_PRESSURE_t25,67.13926575385103,3.931215883389836e-16,0.19305778058224035,0.0015113560322186296,0.002469135802469069,0.19400147405271675,0.19352962731747855,43
1127,MEAN_ARTERIAL_PRESSURE_t31,55.2028193922967,1.4685272422065224e-13,0.1587347385184618,0.0016524652021292219,0.0037037037037036314,0.2258442400576699,0.19228948928806583,44
570,TEMPERATURE_t22,75.98764959811567,5.004585208925298e-18,0.21850115306379744,0.001369279853452072,0.0013888888888888174,0.16575310666487866,0.19212712986433805,45
1117,MEAN_ARTERIAL_PRESSURE_t21,77.98386155349029,1.8753724820225664e-18,0.22424122551393819,0.0021781313864959123,0.0003086419753085878,0.15723034542596845,0.19073578546995332,46
835,SYSTOLIC_BLOOD_PRESSURE_t13,58.26505062089835,3.199632581510362e-14,0.1675401306833225,0.0027778488516862643,0.0021604938271604255,0.2130441017373195,0.190292116210321,47
1118,MEAN_ARTERIAL_PRESSURE_t22,81.84964809089233,2.8108924745698384e-19,0.2353572268692663,0.0015646769393227,0.00030864197530862115,0.14450512912933927,0.18993117799930279,48
1950,PLATELET_COUNT_RESULT_h0,60.685567385376146,9.614661257214675e-15,0.17450028416676128,0.006571665696682911,-0.0015432098765432388,0.20499430243628436,0.18974729330152282,49
560,TEMPERATURE_t12,69.63045859424201,1.148168476790427e-16,0.20022116188181413,0.0031961711058113413,-3.3306690738754695e-17,0.17111917651887082,0.18567016920034246,50
1124,MEAN_ARTERIAL_PRESSURE_t28,67.9047925847458,2.6927145499513107e-16,0.19525903955177598,0.0011437241499808208,0.002006172839506082,0.17553211432840585,0.1853955769400909,51
1125,MEAN_ARTERIAL_PRESSURE_t29,57.29867245456123,5.173686303003375e-14,0.16476132722306155,0.0013832342439304157,0.0030864197530863337,0.205801605943226,0.18528146658314376,52
5,HEART_RATE_t5,5.668518861696743,0.01734399168059448,0.01629972652128639,0.0076176998174487575,0.003858024691357931,0.3531987752045337,0.18474925086291005,53
571,TEMPERATURE_t23,79.85708058939129,7.472766927370234e-19,0.22962763398228977,0.0009560177607819978,0.0006172839506172311,0.13910829928118243,0.1843679666317361,54
1925,CREATININE_RESULT_h3,37.730081588868934,9.376421146329962e-10,0.10849218755890368,0.004871232010495623,0.0023148148148147475,0.2600827348974106,0.18428746122815712,55
564,TEMPERATURE_t16,83.08731527347183,1.532159966593068e-19,0.23891611713542277,0.0005859619271913364,0.0004629629629629317,0.12781757383347786,0.1833668454844503,56
845,SYSTOLIC_BLOOD_PRESSURE_t23,54.4092596905267,2.1807274143768757e-13,0.15645287152061732,0.0017646500556010264,0.0029320987654320118,0.21009906193392858,0.18327596672727295,57
1122,MEAN_ARTERIAL_PRESSURE_t26,68.7376075610046,1.7843973730692607e-16,0.19765378440260048,0.002754108519354099,0.00015432098765428838,0.1655636917855141,0.1816087380940573,58
2018,ANTIBIOTICS_seq_60,32.35570492619866,1.4279671631559533e-08,0.0930382617696036,0.006045748622372333,0.0016975308641974606,0.2699885349195239,0.18151339834456376,59
557,TEMPERATURE_t9,84.35658249015009,8.226372885799739e-20,0.2425658727451443,0.0022395834734356534,-0.001388888888888895,0.11874604335857004,0.18065595805185716,60
1940,HEMOGLOBIN_RESULT_h2,23.992130884979623,1.0269171875679035e-06,0.0689889513697446,0.007609382016942944,0.001234567901234529,0.2915804519319026,0.18028470165082358,61
580,TEMPERATURE_t32,56.70619712597557,6.947319153295321e-14,0.1630576748118804,0.0030470530796153973,0.0012345679012345067,0.19694160334030564,0.179999639076093,62
15,HEART_RATE_t15,21.164664468679668,4.417629773817899e-06,0.060858621303238325,0.0057033421848667505,0.0030864197530863224,0.29541593383101655,0.17813727756712744,63
1654,RESPIRATION_RATE_t10,42.45100546491283,8.679057727405618e-11,0.12206712132639823,0.0034119504801386645,0.002469135802469047,0.2334265292518476,0.17774682528912292,64
1126,MEAN_ARTERIAL_PRESSURE_t30,59.02186242530359,2.1965943256665865e-14,0.16971632974711007,0.002125498770031703,0.001543209876543139,0.18505422111449216,0.17738527543080113,65
567,TEMPERATURE_t19,64.91094149424809,1.1838703457750477e-15,0.18665027327416658,0.0012862199034521984,0.0015432098765431168,0.1676446071494647,0.17714744021181564,66
1116,MEAN_ARTERIAL_PRESSURE_t20,65.9789390307627,6.978399336496271e-16,0.1897212814502574,0.0013084375571868869,0.0013888888888888284,0.16449102211479413,0.17710615178252576,67
572,TEMPERATURE_t24,82.29223539799858,2.26247389574172e-19,0.2366298789047691,0.0007778436344563081,-0.0001543209876543439,0.11734004831378132,0.1769849636092752,68
1657,RESPIRATION_RATE_t13,39.58471941733903,3.6766148462220335e-10,0.11382516609133222,0.00266562164475982,0.003395061728394966,0.23963177470983776,0.17672847040058498,69
833,SYSTOLIC_BLOOD_PRESSURE_t11,54.517983934137305,2.0657077888707747e-13,0.15676550617533488,0.002756624994238197,0.0013888888888888063,0.1945315548054577,0.1756485304903963,70
555,TEMPERATURE_t7,66.95250532217203,4.311516963236438e-16,0.1925207542380334,0.001727034748371051,0.0007716049382715529,0.15871637809503766,0.17561856616653554,71
292,PULSE_OXIMETRY_t18,55.20610365017562,1.46612674452371e-13,0.15874418234436372,0.0013926055272158264,0.002469135802469058,0.19153816831182902,0.17514117532809637,72
837,SYSTOLIC_BLOOD_PRESSURE_t15,59.95922150269682,1.3789240987780663e-14,0.17241168932631093,0.0021875656023895894,0.001080246913580185,0.17549833346754756,0.17395501139692926,73
581,TEMPERATURE_t33,57.506283362338124,4.6660897937777204e-14,0.16535830874542462,0.0012523622828953115,0.0021604938271603926,0.18140011148682883,0.17337921011612673,74
836,SYSTOLIC_BLOOD_PRESSURE_t14,63.90853579487585,1.9448580429458884e-15,0.18376787327483843,0.0018702110226500792,0.0007716049382715306,0.16168636073538112,0.1727271170051098,75
284,PULSE_OXIMETRY_t10,33.8289938499479,6.7577335009837984e-09,0.09727467821803804,0.0014894160098718435,0.004783950617283861,0.24776322738842105,0.17251895280322954,76
1382,DIASTOLIC_BLOOD_PRESSURE_t12,36.463600950018815,1.77876485382972e-09,0.10485044470483088,0.002706627114938373,0.003240740740740644,0.23686791547973304,0.17085918009228196,77
293,PULSE_OXIMETRY_t19,54.36241958357346,2.2322359285807273e-13,0.15631818361497682,0.0015645152736144384,0.0020061728395060928,0.18426081144457168,0.17028949752977424,78
562,TEMPERATURE_t14,85.42524306574632,4.874565019830132e-20,0.24563878747847995,0.001045083891275607,-0.001388888888888895,0.09396789459909277,0.16980334103878636,79
565,TEMPERATURE_t17,72.77128443150369,2.4387828987400975e-17,0.20925255146477684,0.0017270917390116369,-0.0004629629629629872,0.12980189785776702,0.16952722466127193,80
2,HEART_RATE_t2,2.917129067273943,0.08776359724509457,0.00838815344607109,0.008937294683899881,0.0016975308641974606,0.3299694336385077,0.1691787935422894,81
1381,DIASTOLIC_BLOOD_PRESSURE_t11,35.27265470322496,3.2505070199280896e-09,0.10142589966971359,0.002800649764293285,0.0030864197530863337,0.23520382017760263,0.1683148599236581,82
573,TEMPERATURE_t25,57.0535604372856,5.844613282017851e-14,0.164056511918367,0.0010597961480590583,0.0018518518518517713,0.1701766927378176,0.1671166023280923,83
6,HEART_RATE_t6,10.316759203664882,0.0013344451047679231,0.029665660061924344,0.006654131173624663,0.0026234567901233796,0.30429528896356517,0.16698047451274475,84
1115,MEAN_ARTERIAL_PRESSURE_t19,63.55915823422879,2.3123730875184932e-15,0.1827632442297272,0.0007192058534641247,0.0012345679012344957,0.14865381344036344,0.16570852883504533,85
291,PULSE_OXIMETRY_t17,57.953753450204765,3.735199135742475e-14,0.16664500113132574,0.0007697598159103128,0.0016975308641974385,0.16054585494515988,0.1635954280382428,86
1387,DIASTOLIC_BLOOD_PRESSURE_t17,57.71420536288169,4.207702440760062e-14,0.1659561848095795,0.00197516735526574,0.0006172839506172423,0.16024906871922137,0.16310262676440043,87
832,SYSTOLIC_BLOOD_PRESSURE_t10,49.36743605519299,2.7030648557500394e-12,0.14195519612611424,0.00177969233101406,0.0016975308641974606,0.1814954295369084,0.16172531283151131,88
16,HEART_RATE_t16,20.75123860565599,5.472130915483658e-06,0.05966982248849897,0.004341199278966618,0.0029320987654320118,0.26354581143150546,0.1616078169600022,89
584,TEMPERATURE_t36,50.673954670778194,1.406602273803983e-12,0.14571206747974225,0.0015432048893789857,0.0016975308641974385,0.17658984305023387,0.16115095526498807,90
1385,DIASTOLIC_BLOOD_PRESSURE_t15,47.66508222886542,6.337378790137895e-12,0.13706010756971856,0.0024816786797659304,0.0012345679012345067,0.18521373738413885,0.1611369224769287,91
841,SYSTOLIC_BLOOD_PRESSURE_t19,44.63420589854459,2.897222139305532e-11,0.12834487586467982,0.0018148060949826756,0.0021604938271604147,0.19306718668123565,0.16070603127295774,92
563,TEMPERATURE_t15,62.875225261268795,3.2453017066511346e-15,0.1807966069669553,0.0020514909261603797,-0.00030864197530866555,0.14014554287589925,0.16047107492142726,93
1660,RESPIRATION_RATE_t16,37.60489228900285,9.988699758103203e-10,0.10813220792383588,0.002526119456776663,0.0023148148148147253,0.2114368010003981,0.159784504462117,94
569,TEMPERATURE_t21,74.35638615942187,1.1170062561663469e-17,0.21381048366961936,0.0006671004051741657,-0.0007716049382716084,0.10058501059727704,0.1571977471334482,95
1101,MEAN_ARTERIAL_PRESSURE_t5,46.92513589437188,9.181409767895137e-12,0.1349324048687236,0.002515514650572979,0.0009259259259258634,0.17868669956055552,0.15680955221463955,96
285,PULSE_OXIMETRY_t11,66.33703845269753,5.845488269036677e-16,0.19075099005445903,0.0008565315960635586,0.0,0.12258677292334351,0.15666888148890126,97
